2026-01-29 10:53:54 INFO  Utils:112 - [TestNG] Running:
  C:\Users\2457212\IdeaProjects\HIC\master.xml

2026-01-29 10:54:04 INFO  TC001_URL_ValidationTest:30 - TC001_URL_ValidationTest - Starting test: URLAndTitle_Matched
2026-01-29 10:54:04 INFO  TC001_URL_ValidationTest:119 - URLAndTitle_Matched - PASSED
2026-01-29 10:54:04 INFO  TC001_URL_ValidationTest:45 - TC001_URL_ValidationTest - Starting test: urlWorking
2026-01-29 10:54:05 INFO  TC001_URL_ValidationTest:119 - urlWorking - PASSED
2026-01-29 10:54:08 INFO  TC001_URL_ValidationTest:106 - Driver quit successfully
2026-01-29 10:54:15 INFO  TC002_HomePageValidationTest:32 - TC002_HomePageValidationTest - Starting test: URLAndTitle_Matched
2026-01-29 10:54:15 INFO  TC002_HomePageValidationTest:119 - URLAndTitle_Matched - PASSED
2026-01-29 10:54:16 INFO  TC002_HomePageValidationTest:46 - TC002_HomePageValidationTest - Starting test: isHeaderPresent
2026-01-29 10:54:16 INFO  TC002_HomePageValidationTest:119 - isHeaderPresent - PASSED
2026-01-29 10:54:16 INFO  TC002_HomePageValidationTest:57 - TC002_HomePageValidationTest - Starting test: goToHomeViaLogoText
2026-01-29 10:54:17 INFO  TC002_HomePageValidationTest:119 - goToHomeViaLogoText - PASSED
2026-01-29 10:54:17 INFO  TC002_HomePageValidationTest:69 - TC002_HomePageValidationTest - Starting test: goToHome
2026-01-29 10:54:17 INFO  TC002_HomePageValidationTest:119 - goToHome - PASSED
2026-01-29 10:54:17 INFO  TC002_HomePageValidationTest:81 - TC002_HomePageValidationTest - Starting test: goToHeartPulse
2026-01-29 10:54:17 INFO  TC002_HomePageValidationTest:119 - goToHeartPulse - PASSED
2026-01-29 10:54:17 INFO  TC002_HomePageValidationTest:93 - TC002_HomePageValidationTest - Starting test: goToBloodPressure
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:119 - goToBloodPressure - PASSED
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:105 - TC002_HomePageValidationTest - Starting test: goToAgeFactor
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:119 - goToAgeFactor - PASSED
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:117 - TC002_HomePageValidationTest - Starting test: goToTeamDetails
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:119 - goToTeamDetails - PASSED
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:129 - TC002_HomePageValidationTest - Starting test: isLeftImagePresent
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:119 - isLeftImagePresent - PASSED
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:140 - TC002_HomePageValidationTest - Starting test: isCalculatorFormPresent
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:119 - isCalculatorFormPresent - PASSED
2026-01-29 10:54:18 INFO  TC002_HomePageValidationTest:151 - TC002_HomePageValidationTest - Starting test: hasCalculatorFieldsAndWorking
2026-01-29 10:54:19 INFO  TC002_HomePageValidationTest:119 - hasCalculatorFieldsAndWorking - PASSED
2026-01-29 10:54:23 INFO  TC002_HomePageValidationTest:106 - Driver quit successfully
2026-01-29 10:54:29 INFO  TC003_HeartPulsePageValidationTest:30 - TC003_HeartPulsePageValidationTest - Starting test: URLAndTitle_Matched
2026-01-29 10:54:30 INFO  TC003_HeartPulsePageValidationTest:119 - URLAndTitle_Matched - PASSED
2026-01-29 10:54:30 INFO  TC003_HeartPulsePageValidationTest:44 - TC003_HeartPulsePageValidationTest - Starting test: isHeaderPresent
2026-01-29 10:54:30 INFO  TC003_HeartPulsePageValidationTest:119 - isHeaderPresent - PASSED
2026-01-29 10:54:30 INFO  TC003_HeartPulsePageValidationTest:55 - TC003_HeartPulsePageValidationTest - Starting test: goToHeartPulse
2026-01-29 10:54:31 INFO  TC003_HeartPulsePageValidationTest:119 - goToHeartPulse - PASSED
